timestamp,godina_rodjenja,drzava,strucna_sprema,radni_odnos,grana_oblast,godine_staza,institucija,uza_oblast,pisanje_softvera,generativni_ai_poznavanje,programski_jezici,programska_okruzenja,poznati_ai_alati,ostalo_poznati_ai_alati,svrhe_koriscenja,ostalo_svrhe,poznavanje_principa,prompt_engineering,tehnicko_razumevanje,problemi_ai,pravni_okviri,provere_ai,metode_evaluacije,ogranicenja_ai,transformer_elementi,tehnike_treniranja,koncepti_poznavanje,chatgpt_omni,copilot_task,copilot_chat,google_model,gpt_realtime,codex_successor,chatgpt_data_analysis,copilot_workspace,anthropic_model,creativity_parameter,transformer_basis,university_guidelines
2025-09-07 17:20:24,2004,Bosna i Hercegovina,srednja,ne,Matematika,10+,,Data Science,nikad,3,Go,PyCharm,"copilot_chat,gemini,claude",,"ucenje,kod_pisanje,debugging,kod_objasnjavanje,testiranje",,2,2,"tokenizacija,context_window,attention_mechanism,few_shot_learning","job_displacement,privacy,dependency","ai_act,gdpr","validation,version_control,peer_review","functionality,code_quality,performance,maintainability",3,"feed_forward,layer_normalization","transfer_learning,unsupervised_learning,zero_shot",1,GPT-40,Copilot X,Copilot X,Claude 3.5 Sonnet,ne_znam,GPT-4,ne_znam,Copilot X,Claude,Dropout,Decision Trees,Stanford
2025-08-30 21:26:24,2005,Hrvatska,visoka,ne,Fizika,3-5,,Data Science,cesto,2,Java,Vim/Neovim,"gemini,tabnine",,"debugging,kod_objasnjavanje,kod_pisanje",,5,1,"few_shot_learning,fine_tuning,context_window","dependency,privacy,job_displacement,bias","liability,accountability,ai_act","version_control,documentation,automated_testing","code_quality,user_feedback,security",1,"multi_head_attention,attention_heads,feed_forward","zero_shot,reinforcement_learning,supervised_learning",2,GPT-5,Copilot Workspace,Copilot X,Claude 3 Sonnet,GPT-40,GPT-3.5,Advanced Data Analysis (Code Interpreter),Copilot X,LLaMA,Temperature,Transformeri,Stanford
2025-09-07 13:25:24,2000,Makedonija,visa,da,Ekonomija,3-5,Facebook,Frontend razvoj,nikad,1,PHP,VS Code,"github_copilot,chatgpt,copilot_chat",,"debugging,kod_objasnjavanje,ucenje,kod_pisanje",,3,3,"embeddings,tokenizacija","dependency,job_displacement,bias","liability,transparency","automated_testing,validation,peer_review,manual_review","performance,functionality,code_quality,user_feedback",1,"residual_connections,attention_heads,layer_normalization","transfer_learning,supervised_learning",4,ne_znam,Copilot Workspace,Copilot X,LLaMA,GPT-3.5,GPT-2,Advanced Data Analysis (Code Interpreter),Copilot Workspace,Codex,Temperature,Transformeri,Sorbonne
2025-08-29 16:49:24,1997,Slovenija,doktorat,da,Drugo,1-3,Microsoft Srbija,Data Science,ponekad,4,Python,Visual Studio,"github_copilot,gemini,chatgpt",,"ucenje,dokumentacija",,4,5,"embeddings,tokenizacija","dependency,misinformation",copyright,"manual_review,documentation,peer_review","maintainability,security,user_feedback",3,"layer_normalization,residual_connections","zero_shot,unsupervised_learning",1,GPT-40,Copilot Workspace,Copilot X,Claude 3 Sonnet,GPT-5,GPT-3.5,ChatGPT Agent,Copilot Workspace,Claude,Temperature,Transformeri,Stanford
2025-08-26 07:54:24,2005,Hrvatska,srednja,ne,Matematika,5-10,,AI/ML,retko,2,Java,IntelliJ IDEA,"claude,github_copilot",,"ucenje,kod_objasnjavanje,dokumentacija",,3,1,"context_window,fine_tuning,embeddings","job_displacement,dependency,privacy","ai_act,accountability","automated_testing,version_control,documentation","code_quality,user_feedback,security",3,"layer_normalization,multi_head_attention,feed_forward","few_shot,supervised_learning",5,GPT-40,Copilot 2021,Copilot X,Gemini,GPT-4,GPT-3.5,ne_znam,Copilot Workspace,Claude,Temperature,Transformeri,Stanford
2025-09-18 06:35:24,2000,Nemačka,srednja,da,Informacione tehnologije,10+,Microsoft Srbija,Drugo,cesto,2,C#,Eclipse,"copilot_chat,github_copilot",,"kod_pisanje,kod_objasnjavanje,dokumentacija,ucenje,testiranje",,2,1,"few_shot_learning,attention_mechanism","job_displacement,hallucinations,misinformation,bias","liability,transparency","peer_review,documentation","security,functionality,code_quality",4,"positional_encoding,multi_head_attention,attention_heads","zero_shot,reinforcement_learning",3,ne_znam,ne_znam,Copilot X,Claude 3.5 Sonnet,ne_znam,GPT-3,Advanced Data Analysis (Code Interpreter),Copilot Workspace,ne_znam,Learning rate,K-means clustering,MIT
2025-09-02 22:04:24,1999,Makedonija,visoka,da,Informacione tehnologije,5-10,Microsoft Srbija,Frontend razvoj,cesto,5,Go,Vim/Neovim,"claude,github_copilot,gemini,chatgpt",,"ucenje,dokumentacija,testiranje,kod_pisanje,kod_objasnjavanje",,1,3,"tokenizacija,context_window,fine_tuning","dependency,misinformation",copyright,"manual_review,validation","maintainability,code_quality,user_feedback,functionality",5,"multi_head_attention,layer_normalization","transfer_learning,supervised_learning,few_shot",5,GPT-40,Copilot Workspace,ne_znam,ne_znam,GPT-40,ne_znam,Copilot Workspace,Copilot Agents,LLaMA,Temperature,Transformeri,Stanford
2025-08-28 19:27:24,1998,Nemačka,srednja,ne,Mašinstvo,5-10,,Frontend razvoj,retko,5,JavaScript,IntelliJ IDEA,"tabnine,github_copilot,chatgpt,gemini",,"kod_pisanje,debugging,dokumentacija",,1,2,"context_window,attention_mechanism,embeddings,tokenizacija","misinformation,dependency,hallucinations,job_displacement","accountability,liability,ai_act","manual_review,version_control,documentation","code_quality,maintainability,performance,functionality",4,"multi_head_attention,layer_normalization,residual_connections,attention_heads","reinforcement_learning,unsupervised_learning,transfer_learning",4,GPT-40,ne_znam,Copilot Agents,Gemini,GPT-40,GPT-3.5,Advanced Data Analysis (Code Interpreter),Copilot Workspace,Claude,Temperature,Support Vector Machines (SVM),Stanford
2025-09-23 12:19:24,1995,Bosna i Hercegovina,doktorat,da,Matematika,3-5,Univerzitet u Beogradu,Frontend razvoj,ponekad,2,Python,Eclipse,"claude,chatgpt,github_copilot,gemini",,"ucenje,dokumentacija,debugging,kod_pisanje,testiranje",,2,3,"few_shot_learning,tokenizacija,embeddings","bias,privacy,job_displacement,hallucinations","gdpr,transparency,ai_act","documentation,validation,automated_testing,manual_review","maintainability,functionality,user_feedback,code_quality",5,"multi_head_attention,attention_heads,layer_normalization,positional_encoding","few_shot,reinforcement_learning,supervised_learning",3,GPT-4.1,Copilot Agents,ne_znam,Gemini,GPT-40,GPT-2,Copilot Workspace,Copilot 2021,Claude,Temperature,Transformeri,ne_znam
2025-09-11 17:53:24,1999,Makedonija,srednja,da,Informacione tehnologije,5-10,Tesla,Frontend razvoj,uvek,5,Ruby,Vim/Neovim,"chatgpt,claude",,"kod_pisanje,kod_objasnjavanje,debugging,testiranje,dokumentacija",,5,1,"attention_mechanism,context_window,fine_tuning","bias,privacy,hallucinations,job_displacement","transparency,accountability,gdpr","validation,automated_testing","performance,user_feedback",4,"positional_encoding,feed_forward","transfer_learning,few_shot,zero_shot",3,GPT-5,Copilot Agents,ne_znam,Claude 3 Opus,GPT-3.5,GPT-3.5,ChatGPT Agent,ne_znam,Claude,Temperature,ne_znam,Oxford
