Source,Target,Type,Weight,Relationship_type,Context,Ciljana_grupa,Label
P017C72DA,GROUP_PROSVETA,Directed,1.0,belongs_to_group,target_group,prosveta,belongs_to_group
P017C72DA,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P017C72DA,ORG_Meta,Directed,1.0,affiliated_with,organizational,prosveta,affiliated_with
P01BDE407,GROUP_MEDICINA,Directed,1.0,belongs_to_group,target_group,medicina,belongs_to_group
P01BDE407,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01BDE407,TOOL_ChatGPT,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01BDE407,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01BDE407,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01BDE407,TOOL_Midjourney,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01BDE407,ORG_Meta,Directed,1.0,affiliated_with,organizational,medicina,affiliated_with
P01D51C53,GROUP_KREATIVNA_FILMSKA,Directed,1.0,belongs_to_group,target_group,kreativna_filmska,belongs_to_group
P01D51C53,TOOL_Midjourney,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01D51C53,TOOL_ChatGPT,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01D51C53,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01D51C53,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01F884A5,GROUP_MEDICINA,Directed,1.0,belongs_to_group,target_group,medicina,belongs_to_group
P01F884A5,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01F884A5,TOOL_Midjourney,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01F884A5,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,medicina,uses_tool
P01F884A5,ORG_Oracle,Directed,1.0,affiliated_with,organizational,medicina,affiliated_with
P03A2B55E,GROUP_PROSVETA,Directed,1.0,belongs_to_group,target_group,prosveta,belongs_to_group
P03A2B55E,TOOL_ChatGPT,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P03A2B55E,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P03A2B55E,TOOL_Claude,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P03A2B55E,TOOL_DeepL,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P03A2B55E,TOOL_Midjourney,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P03A2B55E,ORG_Univerzitet_u_Novom_Sadu,Directed,1.0,affiliated_with,organizational,prosveta,affiliated_with
P00581EA6,GROUP_KREATIVNA_FILMSKA,Directed,1.0,belongs_to_group,target_group,kreativna_filmska,belongs_to_group
P00581EA6,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P00581EA6,TOOL_Claude,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P03657703,GROUP_PROSVETA,Directed,1.0,belongs_to_group,target_group,prosveta,belongs_to_group
P03657703,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P03657703,TOOL_Gemini,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P03657703,TOOL_DALL-E,Directed,0.2,uses_tool,ai_tool_usage,prosveta,uses_tool
P01D51C53,GROUP_KREATIVNA_FILMSKA,Directed,1.0,belongs_to_group,target_group,kreativna_filmska,belongs_to_group
P01D51C53,TOOL_Bing_Chat,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01D51C53,TOOL_GitHub_Copilot,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
P01D51C53,TOOL_Grammarly,Directed,0.2,uses_tool,ai_tool_usage,kreativna_filmska,uses_tool
