Id,Label,Type,CiljanaGrupa,AgeGroup,ExperienceLevel,Size,Color
P018307E8,P018307E8,participant,prosveta,mid_career,senior,20,#4ECDC4
GROUP_PROSVETA,PROSVETA,target_group,prosveta,group,group,50,#4ECDC4
TOOL_DeepL,DeepL,ai_tool,tool,tool,tool,30,#FFD700
ORG_Meta,ORG_Meta,entity,other,other,other,15,#808080
P050B826B,P050B826B,participant,medicina,mid_career,intermediate,20,#45B7D1
GROUP_MEDICINA,MEDICINA,target_group,medicina,group,group,50,#45B7D1
TOOL_Bing_Chat,Bing Chat,ai_tool,tool,tool,tool,30,#FFD700
TOOL_ChatGPT,ChatGPT,ai_tool,tool,tool,tool,30,#FFD700
TOOL_GitHub_Copilot,GitHub Copilot,ai_tool,tool,tool,tool,30,#FFD700
TOOL_Midjourney,Midjourney,ai_tool,tool,tool,tool,30,#FFD700
P0516CF46,P0516CF46,participant,prosveta,young,senior,20,#4ECDC4
GROUP_KREATIVNA_FILMSKA,KREATIVNA_FILMSKA,target_group,kreativna_filmska,group,group,50,#C0C0C0
TOOL_Grammarly,Grammarly,ai_tool,tool,tool,tool,30,#FFD700
P05F234CB,P05F234CB,participant,medicina,mid_career,unknown,20,#45B7D1
TOOL_DALL-E,DALL-E,ai_tool,tool,tool,tool,30,#FFD700
ORG_Oracle,ORG_Oracle,entity,other,other,other,15,#808080
P0108E85C,P0108E85C,participant,ostalo,mid_career,unknown,20,#DDA0DD
TOOL_Claude,Claude,ai_tool,tool,tool,tool,30,#FFD700
ORG_Univerzitet_u_Novom_Sadu,ORG_Univerzitet_u_Novom_Sadu,entity,other,other,other,15,#808080
P00B265F2,P00B265F2,participant,medicina,young,unknown,20,#45B7D1
P02303954,P02303954,participant,drustvene_nauke,mid_career,unknown,20,#C0C0C0
TOOL_Gemini,Gemini,ai_tool,tool,tool,tool,30,#FFD700
P00AC35ED,P00AC35ED,participant,prosveta,mid_career,junior,20,#4ECDC4
TOOL_Stable_Diffusion,Stable Diffusion,ai_tool,tool,tool,tool,30,#FFD700
GROUP_OSTALO,OSTALO,target_group,ostalo,group,group,50,#DDA0DD
P02B4F499,P02B4F499,participant,medicina,mid_career,junior,20,#45B7D1
P05824668,P05824668,participant,ostalo,mid_career,junior,20,#DDA0DD
GROUP_IT_INDUSTRIJA,IT_INDUSTRIJA,target_group,it_industrija,group,group,50,#C0C0C0
ORG_Apple,ORG_Apple,entity,other,other,other,15,#808080
P04698356,P04698356,participant,drustvene_nauke,young,junior,20,#C0C0C0
GROUP_DRUSTVENE_NAUKE,DRUSTVENE_NAUKE,target_group,drustvene_nauke,group,group,50,#C0C0C0
P008B05EA,P008B05EA,participant,it_industrija,young,junior,20,#C0C0C0
P01F702FC,P01F702FC,participant,ostalo,mid_career,senior,20,#DDA0DD
ORG_Nordeus,ORG_Nordeus,entity,other,other,other,15,#808080
P02BCFE21,P02BCFE21,participant,medicina,mid_career,senior,20,#45B7D1
P00C21DC6,P00C21DC6,participant,prosveta,mid_career,junior,20,#4ECDC4
ORG_RT-RK,ORG_RT-RK,entity,other,other,other,15,#808080
